SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
688633.SH,688633,星球石墨,10000069877,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-28 00:00:00,2023-04-28 00:00:00,CNY,108030988.56,-13.6655643964,108030988.56,-13.6655643964,,,,,,,,,,,87308586.78,1.3481405087,65227429.99,-8.8192162245,,,,,8282842.26,59.9678453679,,,,,,,,,,,,,1067988.15,48.0986111399,4251760.19,53.2821578067,9381126.21,48.1116705227,,,-902560.02,-128.057955262,189305.55,,1289887.85,156.4423420176,,,,,,,155606.6,113.1696373956,2799490.93,-24.3567014465,,,,,,,,,,,326055.47,-73.8297524613,181515.7,-71.7533023252,,,0,,24185070.48,-44.2630957256,530000.0,-68.6658741537,,,100030.41,4901.5205,,,,,0,,24615040.07,-45.3981113845,2818949.74,-59.0354289492,,,,,,,21796090.33,-42.9414221732,,,21796090.33,-42.9414221732,,,21796090.33,-42.9414221732,,,18764490.37,-44.9330883225,,,,,0.29,-45.2830188679,0.29,-45.2830188679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21796090.33,-42.9414221732,21796090.33,-42.9414221732,,,,,,,,,,,,,
688633.SH,688633,星球石墨,10000069877,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-28 00:00:00,2023-04-28 00:00:00,CNY,651234537.34,26.5720770069,651234537.34,26.5720770069,,,,,,,,,,,507518116.98,26.3572994354,392237117.0,30.4379909197,,,,,48723263.78,16.858429909,,,,,,,,,,,,,5656877.76,19.3093860744,25985615.51,21.1983711547,36752958.1,9.1357910624,,,-1837715.17,-202.713504286,439687.77,1368.1197460753,2394475.1,189.9847748235,,,,,,,-1518187.39,-189.8475752402,13952360.78,5.8802022338,,,,,,,-264344.71,-2266.939312189,56865.91,120.0078327133,-100960.18,-110.9335568846,1573011.98,-83.2672147982,,,0,,157415166.75,14.2486498682,4426805.97,318.9013874552,,,350991.09,14.1511059474,,,,,0,,161490981.63,16.5728491748,19802769.18,18.7137257277,,,,,,,141688212.45,16.2797685872,,,141688212.45,16.2797685872,,,141688212.45,16.2797685872,,,124242144.3,23.9257269596,,,,,1.93,7.8212290503,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141688212.45,16.2797685872,141688212.45,16.2797685872,,,,,,,,,,,,,标准无保留意见
688633.SH,688633,星球石墨,10000069877,通用,2022-09-30 00:00:00,三季报,2022三季报,058001001,2022-10-28 00:00:00,2022-10-28 00:00:00,CNY,448538503.02,19.9949804702,448538503.02,19.9949804702,,,,,,,,,,,341484979.43,16.7428402489,262923670.55,21.0941264444,,,,,35532537.39,19.1045909993,,,,,,,,,,,,,3763788.35,38.759781087,17243468.91,-1.8713959508,23524638.64,-9.625082341,,,-1503124.41,-97.5624818497,22517.64,,1438959.53,132.9088726257,,,,,,,-1001195.89,-152.3310456091,10698834.74,86.2543551882,,,,,,,-228061.53,-1969.5115743189,-169957.89,-176.3797224869,1121530.86,180.4531066021,1539712.48,-78.8673803454,,,0,,119014386.36,25.1842834095,4415935.97,6466.9201619864,,,205000.0,-5.237088484,,,,,0,,123225322.33,29.8170910963,15874230.62,87.8802762891,,,,,,,107351091.71,24.1438518008,,,107351091.71,24.1438518008,,,107351091.71,24.1438518008,,,94564079.19,28.0348037001,,,,,1.47,8.0882352941,1.47,8.0882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107351091.71,24.1438518008,107351091.71,24.1438518008,,,,,,,,,,,,,
688633.SH,688633,星球石墨,10000069877,通用,2022-06-30 00:00:00,中报,2022中报,058001001,2022-08-26 00:00:00,2022-08-26 00:00:00,CNY,279242346.59,13.8597191445,279242346.59,13.8597191445,,,,,,,,,,,208391737.2,10.6825242498,166424133.38,18.613113651,,,,,17292426.74,0.6857949468,,,,,,,,,,,,,2079104.38,4.831229639,10048308.0,-21.4955309837,13750491.43,-15.9670047601,,,-1202726.73,-243.2752889326,15994.11,,1240536.33,210.9067245739,,,,,,,-160357.03,-113.5329763372,6710756.56,523.4191461761,,,,,,,,,25726.03,-88.4386242258,917682.47,165.4395876136,1535560.48,-64.1749108176,,,0,,79879977.9,28.110428401,4415935.97,12713.9468892503,,,105000.0,-9.7390375052,,,,,0,,84190913.87,35.2017662219,11294891.77,33.681290663,,,,,,,72896022.1,35.4404569052,,,72896022.1,35.4404569052,,,72896022.1,35.4404569052,,,62382714.07,29.1162092441,,,,,1.0,17.6470588235,1.0,17.6470588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72896022.1,35.4404569052,72896022.1,35.4404569052,,,,,,,,,,,,,
688633.SH,688633,星球石墨,10000069877,通用,2022-03-31 00:00:00,一季报,2022一季报,058001001,2022-04-28 00:00:00,2023-04-28 00:00:00,CNY,125130821.56,0.2449687594,125130821.56,0.2449687594,,,,,,,,,,,86147201.46,-0.7031549929,71536377.83,0.8655693439,,,,,5177816.98,17.9855964847,,,,,,,,,,,,,721133.13,96.1644685296,2773812.85,-14.0359140345,6333819.73,-19.8227050308,,,-395759.06,-726.798090605,,,502993.32,949.3718706189,,,,,,,-1181555.69,-356.2162118124,3700910.7,56006.6844919786,,,,,,,,,,,1245901.36,137.5561083245,642608.57,258.1392866814,,,0,,43391485.04,25.2067894438,1691446.58,,,,2000.0,-98.0,,,,,0,,45080931.62,30.4581522031,6881433.56,32.7596205135,,,,,,,38199498.06,30.0520107363,,,38199498.06,30.0520107363,,,38199498.06,30.0520107363,,,34075799.42,15.363339902,,,,,0.53,32.5,0.53,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38199498.06,30.0520107363,38199498.06,30.0520107363,,,,,,,,,,,,,
688633.SH,688633,星球石墨,10000069877,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-28 00:00:00,2023-04-28 00:00:00,CNY,514516750.25,-8.0511437543,514516750.25,-8.0511437543,,,,,,,,,,,401653184.46,1.8677888138,300707726.51,-1.5839080599,,,,,41694265.29,27.3241499431,,,,,,,,,,,,,4741351.83,-1.3636354852,21440564.97,7.3570694754,33676356.53,7.9762631954,,,-607080.67,-2267.52440908,29949.04,,825724.42,476.4466011704,,,,,,,1689736.63,1.0041841019,13177497.29,1899.8874341253,,,,,,,12198.99,-87.814136612,-284218.24,-27.6247107973,923397.4,125.7697287413,9400777.94,160.388600818,,,0,,137782955.8,-17.7493684935,1056765.65,-88.0735647296,,,307479.36,-27.5638346214,,,,,0,,138532242.09,-21.267116621,16681111.69,-31.5151640087,,,,,,,121851130.4,-19.6205195932,,,121851130.4,-19.6205195932,,,121851130.4,-19.6205195932,,,100255328.21,-26.7169611692,,,,,1.79,-35.6115107914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121851130.4,-19.6205195932,121851130.4,-19.6205195932,,,,,,,,,,,,,标准无保留意见
688633.SH,688633,星球石墨,10000069877,通用,2021-09-30 00:00:00,三季报,2021三季报,058001001,2021-10-28 00:00:00,2022-10-28 00:00:00,CNY,373797721.59,13.0862668445,373797721.59,13.0862668445,,,,,,,,,,,292510426.08,16.6471923324,217123388.45,17.9091000758,,,,,29833054.37,17.1165819044,,,,,,,,,,,,,2712449.04,-25.4515146478,17572316.53,14.5673382685,26030052.64,17.5632145588,,,-760834.95,-2671.099740097,,,617820.83,644.764977794,,,,,,,1913196.8,107.6930696869,5744206.48,842.2799290336,,,,,,,12198.99,-87.814136612,222517.03,,-1394018.09,10.5645803213,7285951.79,234.900074368,,,0,,95071348.51,15.9056526438,67245.16,-75.8110935252,,,216329.36,-43.424028809,,,,,0,,94922264.31,15.8713341589,8449120.33,-20.0706238115,,,,,,,86473143.98,21.1962755015,,,86473143.98,21.1962755015,,,86473143.98,21.1962755015,,,73858104.56,11.1718113071,,,,,1.36,3.8167938931,1.36,3.8167938931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86473143.98,21.1962755015,86473143.98,21.1962755015,,,,,,,,,,,,,
688633.SH,688633,星球石墨,10000069877,通用,2021-06-30 00:00:00,中报,2021中报,058001001,2021-08-24 00:00:00,2022-08-26 00:00:00,CNY,245251216.75,11.0043246734,245251216.75,11.0043246734,,,,,,,,,,,188278807.89,14.5967799917,140308375.91,13.6807851422,,,,,17174643.9,28.5627504459,,,,,,,,,,,,,1983287.22,-23.3294138805,12799663.67,31.1963405616,16363205.18,7.9031384446,,,-350367.99,-5038.8227781725,,,399005.95,713.7602771394,,,,,,,1184935.42,73.8016810047,1076443.77,6.3316332389,,,,,,,12198.99,-87.814136612,222517.03,,-1402335.35,46.8078531387,4286271.2,103.2943052568,,,0,,62352439.92,7.6751108852,34461.95,-86.7454038462,,,116329.36,-50.2422288182,,,,,0,,62270572.51,7.4850889138,8449119.33,5.7077710669,,,,,,,53821453.18,7.769541736,,,53821453.18,7.769541736,,,53821453.18,7.769541736,,,48315168.51,6.2589051,,,,,0.85,-7.6086956522,0.85,-7.6086956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53821453.18,7.769541736,53821453.18,7.769541736,,,,,,,,,,,,,
688633.SH,688633,星球石墨,10000069877,通用,2021-03-31 00:00:00,一季报,2021一季报,058001001,2021-04-28 00:00:00,2022-04-28 00:00:00,CNY,124825039.21,53.9092201743,124825039.21,53.9092201743,,,,,,,,,,,86757239.32,54.4479753334,70922494.46,64.2467833461,,,,,4388516.17,2.5610784612,,,,,,,,,,,,,367616.59,-63.6358283061,3226711.27,0.9142693914,7899767.3,74.6595454649,,,-47866.47,-162.0167085603,,,47932.8,63.1506071585,,,,,,,-258990.29,-298.9247445622,-6619.8,-101.3484764618,,,,,,,-8323.28,-108.3143238104,,,-3317440.0,-1032.3961891218,179429.79,-31.0113616265,,,0,,34655856.31,31.9335669129,,,,,100000.0,0.0,,,,,0,,34555856.31,32.0556014053,5183378.45,37.884251401,,,,,,,29372477.86,31.0777907662,,,29372477.86,31.0777907662,,,29372477.86,31.0777907662,,,29537805.9,36.3745225611,,,,,0.4,-2.4390243902,0.4,-2.4390243902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29372477.86,31.0777907662,29372477.86,,,,,,,,,,,,,,
688633.SH,688633,星球石墨,10000069877,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-03-05 00:00:00,2022-04-28 00:00:00,CNY,559568407.11,16.3428046287,559568407.11,16.3428046287,,,,,,,,,,,394288704.15,15.3380264528,305547315.06,28.6879926579,,,,,32746549.11,30.3387187304,,,,,,,,,,,,,4806900.43,0.2829598546,19971265.12,-63.2208396552,31188666.41,53.5959005584,,,28008.02,127.61336972,,,143243.87,-4.0398763699,,,,,,,1672937.26,79.1604180834,658911.95,124.3432419393,,,,,,,100107.72,349.204635496,-222698.44,,-3583263.95,-203.3215339779,3610287.82,54.0116694255,,,0,,167515985.32,17.0545190261,8860700.0,6613.1819582411,,,424483.21,-14.6803997328,,,,,0,,175952202.11,23.2643059505,24357379.92,20.0938926415,,,,,,,151594822.19,23.7893848514,,,151594822.19,23.7893848514,,,151594822.19,23.7893848514,,,136805637.17,11.6585628952,,,,,2.78,24.1071428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151594822.19,23.7893848514,151594822.19,23.7893848514,,,,,,,,,,,,,标准无保留意见
