SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
688190.SH,688190,云路股份,10000016131,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-29 00:00:00,2023-04-29 00:00:00,CNY,384619630.37,32.2305510123,384619630.37,32.2305510123,,,,,,,,,,,308340703.17,21.0359482447,272867063.71,23.4729889118,,,,,12960644.08,-10.3156307904,,,,,,,,,,,,,2670470.82,206.4961668566,8982541.34,28.9450912182,7740562.23,-31.0630453649,,,3119420.99,1196.0351289051,318732.31,22129.7452242626,426484.77,20.6454373845,,,,,,,4472263.01,84.3163164839,6141427.97,-21.3695069271,,,,,,,81924.78,,-798954.66,,-2066543.38,51.4720368572,639309.91,-10.5051520194,,,0,,84748354.83,97.9550240117,645179.69,157.3274790686,,,1895117.77,146233.230636182,,,,,0,,83498416.75,93.9057001975,10042864.89,111.3086169215,,,,,,,73455551.86,91.7466358705,,,73455551.86,91.7466358705,,,73455551.86,91.7466358705,,,65307706.93,116.9631750233,,,,,0.61,90.625,0.61,90.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73455551.86,91.7466358705,,,,,,,,,,,,,,,
688190.SH,688190,云路股份,10000016131,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-03-31 00:00:00,2023-03-31 00:00:00,CNY,1447382421.3,54.6768773995,1447382421.3,54.6768773995,,,,,,,,,,,1208751548.16,46.7761428009,1059343259.4,47.7421100657,,,,,75150296.44,41.9077772544,,,,,,,,,,,,,6818346.24,51.3916430817,38697876.12,98.3964639827,36077102.48,34.1402657648,,,-7335332.52,-376.7120526541,829294.86,862.9747220181,1674235.0,101.3015214323,,,,,,,819231.9,-53.2796798268,32512223.7,9157.864140127,,,,,,,56172.26,294.9246670937,-20262095.96,-2571.8272290924,-6002660.35,-2542.1986969257,6530824.06,-64.4328500387,,,0,,252284568.75,91.6124015718,1723567.3,41.5706131615,,,1910484.76,662.2943275194,,,,,0,,252097651.29,90.0746752723,25391980.81,97.1355817315,,,,,,,226705670.48,89.3151974156,,,,,,,226705670.48,89.3151974156,,,199113961.07,95.9623414522,,,,,1.89,46.511627907,1.89,46.511627907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226705670.48,89.3151974156,,,,,,,,,,,,,,,标准无保留意见
688190.SH,688190,云路股份,10000016131,通用,2022-09-30 00:00:00,三季报,2022三季报,058001001,2022-10-28 00:00:00,2022-10-28 00:00:00,CNY,1029887562.46,54.4769715388,1029887562.46,54.4769715388,,,,,,,,,,,872497584.51,51.4498234724,761677223.88,49.4140051302,,,,,62542153.66,94.2082730193,,,,,,,,,,,,,3743042.11,1.7025566368,26242253.79,105.0864728879,29031263.53,73.2837793576,,,-10738352.46,-1310.4402830322,114347.26,1505.4461520317,1309263.7,167.8495485445,,,,,,,2148470.8,,25208876.19,,,,,,,,,,-14466388.45,-2786.7801828999,-6417001.38,-428.9268028024,2736802.45,-72.6385470643,,,0,,166600737.56,68.5206734544,1069528.69,24.4136100069,,,516796.05,507.9750394222,,,,,0,,167153470.2,67.76520116,15872859.1,52.7308895921,,,,,,,151280611.1,69.5160122268,,,151280611.1,69.5160122268,,,151280611.1,69.5160122268,,,129745804.9,61.9722293268,,,,,1.26,27.2727272727,1.26,27.2727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151280611.1,69.5160122268,,,,,,,,,,,,,,,
688190.SH,688190,云路股份,10000016131,通用,2022-06-30 00:00:00,中报,2022中报,058001001,2022-08-30 00:00:00,2022-08-30 00:00:00,CNY,638979353.78,54.1695598058,638979353.78,54.1695598058,,,,,,,,,,,553155925.1,56.8936939329,485626778.79,58.2818543515,,,,,32685403.28,49.9996936942,,,,,,,,,,,,,1992905.99,-27.9708488431,16737901.09,104.2199505691,20244107.86,69.4989630899,,,-4131171.91,-489.9894957382,2542.09,-49.6326603396,842704.86,130.754523784,,,,,,,5346251.97,,14333130.14,,,,,,,,,,-3139580.23,-675.0375295452,-4120695.56,-1421.6811117653,1441926.65,-79.4553494816,,,0,,99684461.65,46.1396721942,557950.74,7.511542807,,,16578.61,-31.3402244593,,,,,0,,100225833.78,45.8751278727,10096374.94,34.4150740013,,,,,,,90129458.84,47.281779043,,,90129458.84,47.281779043,,,90129458.84,47.281779043,,,74286339.18,35.4763835836,,,,,0.75,10.2941176471,0.75,10.2941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90129458.84,47.281779043,,,,,,,,,,,,,,,
688190.SH,688190,云路股份,10000016131,通用,2022-03-31 00:00:00,一季报,2022一季报,058001001,2022-04-29 00:00:00,2023-04-29 00:00:00,CNY,290870473.9,56.3243028346,290870473.9,56.3243028346,,,,,,,,,,,254751342.59,58.5773004657,220993325.03,58.6961566828,,,,,14451396.82,37.5389936514,,,,,,,,,,,,,871290.12,-4.2436354403,6966175.49,46.9274341322,11228465.59,102.1783458746,,,240689.54,175.3137327214,1433.81,-46.2710784681,353502.61,61.4871297078,,,,,,,2426406.46,,7810491.49,,,,,,,,,,,,-4258458.93,-1150.4336160746,714353.87,-77.2780501603,,,0,,42811924.2,49.0289074771,250723.2,8.2885322172,,,1295.07,619.3634394268,,,,,0,,43061352.33,48.6996306603,4752700.12,62.7891430033,,,,,,,38308652.21,47.1198912238,,,38308652.21,47.1198912238,,,38308652.21,47.1198912238,,,30100825.6,,,,,,0.32,45.4545454545,0.32,45.4545454545,38308652.21,47.1198912238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38308652.21,,,,,,,,,,,,,,,,
688190.SH,688190,云路股份,10000016131,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-15 00:00:00,2023-03-31 00:00:00,CNY,935745824.22,30.8223765954,935745824.22,30.8223765954,,,,,,,,,,,823534073.79,34.462544463,717021882.88,39.3951092503,,,,,52957137.3,28.3932148256,,,,,,,,,,,,,4503779.8,-14.0812765924,19505325.52,26.1332430576,26895058.15,-8.894441269,,,2650890.14,-59.8946145343,86118.03,-70.1237512799,831705.09,40.4631943506,,,,,,,1753480.92,-40.3504878148,351184.93,108.7204832219,,,,,,,-28817.42,-103.4602612433,-758361.01,-240.0770360727,-227184.29,89.2840284621,18361954.97,210.5579084521,,,0,,131664008.53,24.0580895461,1217461.21,-49.7774471871,,,250622.98,-26.3631939049,,,,,0,,132630846.76,22.5626715763,12880465.61,4.1505131361,,,,,,,119750381.15,24.9383837935,,,119750381.15,24.9383837935,,,119750381.15,24.9383837935,,,101608278.2,15.3271452807,,,,,1.29,21.1267605634,1.29,21.1267605634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119750381.15,24.9383837935,,,,,,,,,,,,,,,标准无保留意见
688190.SH,688190,云路股份,10000016131,通用,2021-09-30 00:00:00,三季报,2021三季报,058001001,2021-11-08 00:00:00,2022-10-28 00:00:00,CNY,666693263.21,28.4058631657,666693263.21,28.4058631657,,,,,,,,,,,576096798.6,30.8651272443,509776324.66,37.4789096136,,,,,32203650.59,8.4787103871,,,,,,,,,,,,,3680381.53,7.3190970938,12795701.94,28.7227732858,16753595.54,-13.9772254192,,,887144.34,-87.1171101455,7122.46,-97.1047288367,488805.64,41.1413106783,,,,,,,,,,,,,,,,,-23817.42,-117.9660296635,-501125.39,,-1213211.61,-298.7895380742,10002401.76,70.7759653414,,,0,,98860711.95,12.8404768539,859655.7,2062.5073296853,,,85002.84,-85.2672117847,,,,,0,,99635364.81,14.42630849,10392697.34,6.0079907179,,,,,,,89242667.47,15.4943873732,,,89242667.47,15.4943873732,,,89242667.47,15.4943873732,,,80103734.72,10.8172331423,,,,,0.99,15.3039832285,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89242667.47,15.4943873732,,,,,,,,,,,,,,,
688190.SH,688190,云路股份,10000016131,通用,2021-06-30 00:00:00,中报,2021中报,058001001,2021-10-18 00:00:00,2022-08-30 00:00:00,CNY,414465316.36,,414465316.36,,,,,,,,,,,,352567341.13,,306811403.48,,,,,,21790313.35,,,,,,,,,,,,,,2766804.77,,8196016.62,,11943499.53,,,,1059303.38,,5047.1,,365195.38,,,,,,,,,,,,,,,,,,-28817.42,,-405087.51,,-270798.89,,7018501.72,,,,0,,68211773.13,,518968.22,,,,24146.03,,,,,,0,,68706595.32,,7511341.28,,,,,,,,61195254.04,,,,61195254.04,,,,61195254.04,,,,54833423.52,28.3680125855,,,,,0.68,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61195254.04,,61195254.04,,,,,,,,,,,,,,标准无保留意见
688190.SH,688190,云路股份,10000016131,通用,2021-03-31 00:00:00,一季报,2021一季报,058001001,2022-04-29 00:00:00,2022-04-29 00:00:00,CNY,186068620.57,,186068620.57,,,,,,,,,,,,160648051.04,,139255625.12,,,,,,10507127.06,,,,,,,,,,,,,,909903.09,,4741235.38,,5553742.93,,,,-319582.54,,2668.6,,218904.51,,,,,,,,,,,,,,,,,,-57706.69,,-184894.63,,405400.1,,3143893.35,,,,0,,28727261.66,,231532.55,,,,180.03,,,,,,0,,28958614.18,,2919543.67,,,,,,,,26039070.51,,,,26039070.51,,,,26039070.51,,,,,,,,,,0.22,,0.22,,26039070.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688190.SH,688190,云路股份,10000016131,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-04-12 00:00:00,2022-04-15 00:00:00,CNY,715279639.9,2.246680209,715279639.9,2.246680209,,,,,,,,,,,612463550.41,2.4552224966,514380946.89,0.5557367437,,,,,41246056.01,34.7410435651,,,,,,,,,,,,,5241907.26,-14.1153113113,15464064.07,-30.9695145761,29520765.28,11.7781262198,,,6609810.9,815.8580593333,288249.14,-86.4035832762,592116.03,46.4843556049,,,,,,,2939640.0,293.9511499941,-4027126.95,42.201784178,,,,,,,832810.53,,-222996.83,-34.8347670161,-2120053.13,-785.8044653551,5912570.4,16.8031249392,,,0,,106130933.51,7.7486006183,2424132.47,1099.1753992519,,,340350.15,-93.2767639627,,,,,0,,108214715.83,15.5664542526,12367164.81,10.5039859513,,,,,,,95847551.02,16.2536494189,,,95847551.02,16.2536494189,,,95847551.02,16.2536494189,,,88104390.3,-0.4220826035,,,,,1.065,15.7608695652,1.065,15.7608695652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95847551.02,16.2536494189,95847551.02,16.2536494189,,,,,,,,,,,,,标准无保留意见
