SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
300126.SZ,300126,锐奇股份,10144031,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-22 00:00:00,2023-04-22 00:00:00,CNY,115573893.86,-6.1099626688,115573893.86,-6.1099626688,,,,,,,,,,,122004925.34,-3.9603319064,99125287.94,-6.5714663014,,,,,6845463.47,21.4421874163,,,,,,,,,,,,,1128708.22,77.8421007469,7268032.13,5.4875166178,7186511.17,11.4891477053,,,450922.41,-66.1259681311,,,1832494.81,432.3790855453,,,,,,,,,4274010.98,-19.8156603163,,,,,,,8796.9,,,,,,624118.84,124.0523912805,,,0,,-1524104.76,-191.3858567023,30.0,-99.8433224825,,,85.78,-99.9711650529,,,,,0,,-1524160.54,-209.6968115244,,,,,,,,,-1524160.54,-209.6968115244,,,-1524160.54,-209.6968115244,,,-1524160.76,-209.6968660442,0.22,-55.1020408163,-2055066.98,-241.6002945245,,,,,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1524160.54,-209.6968115244,-1524160.76,-209.6968660442,0.22,-55.1020408163,,,,,,,,,,,
300126.SZ,300126,锐奇股份,10144031,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-22 00:00:00,2023-04-22 00:00:00,CNY,434704626.42,-30.5504334477,434704626.42,-30.5504334477,,,,,,,,,,,459145082.91,-28.1146973267,388465364.87,-28.2319197487,,,,,23654322.2,-13.1548797676,,,,,,,,,,,,,2566890.98,20.3374271627,28179181.25,-9.4790359802,29925133.53,1.7377311356,,,-13645809.92,-281.3203072442,13735.34,-72.189666839,1292260.09,52.9132591297,,,,,,,-89826.68,,24158432.42,7.1486610557,,,,,,,282869.51,12315.9238548379,131055.34,-76.926211358,-2943462.66,-4.0623979559,6623332.66,95.4469146409,,,0,,3721944.1,-65.8119105024,5381.85,17839.5,,,360545.8,35.4502768282,,,,,0,,3366780.15,-68.2992781855,-566948.31,-243.8021956666,,,,,,,3933728.46,-61.5330684622,,,3933728.46,-61.5330684622,,,3934196.89,-61.5306950496,-468.43,20.1653174265,-6263350.92,-182.4953161275,,,,,0.01,-66.6666666667,0.01,-66.6666666667,-16925583.62,-121.1605353705,-16925583.62,-121.1605353705,,,,,,,-16925583.62,-121.1605353705,,,-16925583.62,-121.1605353705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12991855.16,-114.4013407702,-12991386.73,-114.400727857,-468.43,20.1653174265,,,,,,,,,,,标准无保留意见
300126.SZ,300126,锐奇股份,10144031,通用,2022-09-30 00:00:00,三季报,2022三季报,058001001,2022-10-26 00:00:00,2022-10-26 00:00:00,CNY,336701854.64,-33.3011539765,336701854.64,-33.3011539765,,,,,,,,,,,343393204.6,-32.0110322018,301694619.85,-30.0380091199,,,,,16266767.6,-18.8367316811,,,,,,,,,,,,,2364722.93,25.4334028952,20156505.17,-31.7271475986,18975305.48,-0.1581927584,,,-16064716.43,-573.9714207861,13735.34,,836526.79,22.9402675518,,,,,,,,,21568965.4,31.7688394962,,,,,,,146317.2,7261.2050229413,,,-4357492.34,-4.1847113948,3276884.33,110.5410496518,,,0,,13943324.63,3.4226411044,19147.61,416.1080862534,,,327908.4,42.9399852705,,,,,0,,13634563.84,2.8542782903,180199.14,169.3143782863,,,,,,,13454364.7,-0.4572606396,,,13454364.7,-0.4572606396,,,13454539.38,-0.4581249262,-174.68,40.3496790056,10825041.16,-12.6214568634,,,,,0.04,0.0,0.04,0.0,-17103177.04,-128.6612137077,-17103177.04,-128.6612137077,,,,,,,-17103177.04,-128.6612137077,,,-17103177.04,-128.6612137077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3648812.34,-104.9854133574,-3648637.66,-104.985154744,-174.68,40.3496790056,,,,,,,,,,,
300126.SZ,300126,锐奇股份,10144031,通用,2022-06-30 00:00:00,中报,2022中报,058001001,2022-08-25 00:00:00,2022-08-25 00:00:00,CNY,207456582.41,-39.0076636773,207456582.41,-39.0076636773,,,,,,,,,,,213953356.64,-36.1092959685,184122247.46,-35.988625218,,,,,10265760.68,-19.7281244389,,,,,,,,,,,,,2090003.9,37.3980459917,12790083.52,-28.2847898105,12128866.14,-5.0879175924,,,-7443605.06,-422.1447358493,11428.42,,651879.23,38.315938862,,,,,,,,,15690528.39,45.2515346699,,,,,,,,,,,-1916276.59,54.1831154472,1294059.33,183.2469393168,,,0,,8571536.9,-31.1209410003,19147.61,,,,315402.27,190.6338703049,,,,,0,,8275282.24,-32.9165721137,235418.75,190.554840013,,,,,,,8039863.49,-36.1701854806,,,8039863.49,-36.1701854806,,,8039862.38,-36.1706862474,1.11,101.1433868974,7193615.72,-41.0859769404,,,,,0.03,-25.0,0.03,-25.0,-17103177.04,-128.6612137077,-17103177.04,-128.6612137077,,,,,,,-17103177.04,-128.6612137077,,,-17103177.04,-128.6612137077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9063313.55,-112.5410151382,-9063314.66,-112.5409998277,1.11,101.1433868974,,,,,,,,,,,
300126.SZ,300126,锐奇股份,10144031,通用,2022-03-31 00:00:00,一季报,2022一季报,058001001,2022-04-29 00:00:00,2023-04-22 00:00:00,CNY,123094949.31,-23.1229266702,123094949.31,-23.1229266702,,,,,,,,,,,127035971.45,-18.1946312457,106097445.84,-21.4615295027,,,,,5636808.44,1.9787465524,,,,,,,,,,,,,634668.74,-45.144888155,6889945.24,-16.8507964699,6445928.88,6.5133130354,,,1331174.31,262.0025249369,6841.21,,344208.64,-69.7959160751,,,,,,,,,5330231.56,22.2246007722,,,,,,,,,,,,,278559.33,15.889593097,,,0,,1667768.75,-82.301664838,19147.61,,,,297486.24,291.8766728803,,,,,0,,1389430.12,-85.1356441438,,,,,,,,,1389430.12,-85.1356441438,,,1389430.12,-85.1356441438,,,1389429.63,-85.1358044619,0.49,100.5024610336,1451315.47,-84.2475086036,,,,,0.0,-100.0,0.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389430.12,-85.1356441438,1389429.63,-85.1358044619,0.49,100.5024610336,,,,,,,,,,,
300126.SZ,300126,锐奇股份,10144031,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-29 00:00:00,2023-04-22 00:00:00,CNY,625928494.59,45.8408203361,625928494.59,45.8408203361,,,,,,,,,,,638718995.17,43.2132026391,541278746.08,56.979548007,,,,,27237364.79,24.7820403815,,,,,,,,,,,,,2133077.83,-50.0912061043,31130005.69,-10.4593507183,29413997.34,-5.171526924,,,7525803.44,-19.0503825346,49389.34,,845093.55,-12.5295833345,,,,,,,,,22546648.91,-31.6880945639,,,,,,,2278.28,173.5161438132,567983.62,107.1245936718,-2828555.48,9.5128495791,3388814.13,-43.8074940125,,,0,,10886668.88,-2.1807525963,30.0,-99.7453068543,,,266183.14,-46.8258792424,,,,,0,,10620515.74,-0.1884143531,394255.67,144.991311695,,,,,,,10226260.07,-11.2061556475,,,10226260.07,-11.2061556475,,,10226846.82,-11.3396830722,-586.75,96.7415141921,7592371.56,10.143980776,,,,,0.03,-25.0,0.03,-25.0,79986556.69,104.6430579343,79986556.69,104.6430579343,,,,,,,79986556.69,104.6430579343,,,79986556.69,104.6430579343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90212816.76,78.2765273822,90213403.51,78.2142699087,-586.75,96.7415141921,,,,,,,,,,,标准无保留意见
300126.SZ,300126,锐奇股份,10144031,通用,2021-09-30 00:00:00,三季报,2021三季报,058001001,2021-10-27 00:00:00,2022-10-26 00:00:00,CNY,504809115.47,56.1130058555,504809115.47,56.1130058555,,,,,,,,,,,505071948.76,55.0074271749,431226464.62,66.2363813556,,,,,20042031.25,32.220588424,,,,,,,,,,,,,1885241.79,-44.6646414351,29523455.46,25.613758318,19005370.6,-0.6097690105,,,3389385.04,-35.3339997913,,,680433.52,-14.0905318466,,,,,,,,,16368790.59,-36.1342113695,,,,,,,1987.68,171.6438568478,,,-4182468.12,18.4032583071,1556411.13,-61.8643946137,,,0,,13481887.99,-32.5025992936,3710.0,33.5070244127,,,229402.85,-27.9804522414,,,,,0,,13256195.14,-32.5665421339,-259973.68,-165.5500596352,,,,,,,13516168.82,-29.8283613552,,,13516168.82,-29.8283613552,,,13516461.66,-29.8913138365,-292.84,98.3467687074,12388672.06,-22.578961738,,,,,0.04,-33.3333333333,0.04,-33.3333333333,59673596.57,76.8774778276,59673596.57,76.8774778276,,,,,,,59673596.57,76.8774778276,,,59673596.57,76.8774778276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73189765.39,38.0969366843,73190058.23,38.0513499112,-292.84,98.3467687074,,,,,,,,,,,
300126.SZ,300126,锐奇股份,10144031,通用,2021-06-30 00:00:00,中报,2021中报,058001001,2021-08-26 00:00:00,2022-08-25 00:00:00,CNY,340135490.65,65.7495542426,340135490.65,65.7495542426,,,,,,,,,,,334874000.66,64.0256400362,287639889.14,73.8108456667,,,,,12788739.03,35.4796397786,,,,,,,,,,,,,1521130.73,-28.9171576982,17834547.91,30.9881979213,12779053.87,-2.5083367818,,,2310639.98,530.3068987187,,,471297.26,-15.722995666,,,,,,,,,10802315.05,-47.9330242181,,,,,,,106126.22,668822.243226213,,,-4182468.12,18.4032583071,456866.13,-86.7322199351,,,0,,12444329.27,-30.7983726859,,,,,108522.2,638.2065861767,,,,,0,,12335807.07,-31.3561960559,-259973.68,-118.9626138945,,,,,,,12595780.75,-24.120754983,,,12595780.75,-24.120754983,,,12595877.83,-24.2002525531,-97.08,99.4464480703,12210362.4,-10.4648145649,,,,,0.04,-20.0,0.04,-20.0,59673596.57,76.8774778276,59673596.57,76.8774778276,,,,,,,59673596.57,76.8774778276,,,59673596.57,76.8774778276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72269377.32,43.5710267398,72269474.4,43.5212161466,-97.08,99.4464480703,,,,,,,,,,,
300126.SZ,300126,锐奇股份,10144031,通用,2021-03-31 00:00:00,一季报,2021一季报,058001001,2021-04-24 00:00:00,2022-04-29 00:00:00,CNY,160119192.86,89.1028921605,160119192.86,89.1028921605,,,,,,,,,,,155290506.46,78.2612226138,135089778.51,91.7703252014,,,,,5527434.52,16.8126602002,,,,,,,,,,,,,1156991.06,6.5710013367,8286243.22,60.8981934118,6051758.88,5.3290441355,,,-821699.73,-1828.4027272228,,,1139609.6,298.4798171987,,,,,,,,,4361013.68,-19.7126998395,,,,,,,-6757.55,-1757.2351243644,,,,,240366.13,-45.8564809408,,,0,,9423308.66,174.3817837567,,,,,75913.23,733.7129232635,,,,,0,,9347395.43,172.8949077559,,,,,,,,,9347395.43,172.8949077559,,,9347395.43,172.8949077559,,,9347492.95,172.8900197098,-97.52,-0.442888042,9213244.01,208.0428640674,,,,,0.03,200.0,0.03,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9347395.43,172.8949077559,9347492.95,172.8900197098,-97.52,-0.442888042,,,,,,,,,,,
300126.SZ,300126,锐奇股份,10144031,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-04-24 00:00:00,2022-04-29 00:00:00,CNY,429186076.4,-6.5193223983,429186076.4,-6.5193223983,,,,,,,,,,,445991698.67,-5.6357676883,344808449.86,-4.7854122602,,,,,21827952.73,-29.9051813344,,,,,,,,,,,,,4273951.87,-12.8029357595,34766339.02,-15.9802271439,31018107.1,0.9507504488,,,9296898.09,296.8253051369,,,966147.85,-21.2757669453,,,,,,,,,33005445.78,34.850012608,,,,,,,-3099.02,96.9462139012,-7972154.57,-127.3874651177,-3125919.5,29.659558324,6030722.55,-9.3021390346,,,0,,11129372.97,16.3797343911,11778.88,-84.0924937927,,,500587.76,,,,,,0,,10640564.09,10.4133360626,-876292.9,-231.3633547477,,,,,,,11516856.99,28.3937362758,,,11516856.99,28.3937362758,,,11534863.82,24.7541993662,-18006.83,93.4786265735,6893133.43,94.967630442,,,,,0.04,33.3333333333,0.04,33.3333333333,39085888.13,2000.9282967658,39085888.13,2000.9282967658,,,,,,,39085888.13,2000.9282967658,,,39085888.13,2000.9282967658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50602745.12,631.908775066,50620751.95,604.0511663685,-18006.83,93.4786265735,,,,,,,,,,,标准无保留意见
