SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
300540.SZ,300540,蜀道装备,10401486,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-18 00:00:00,2023-04-18 00:00:00,CNY,17160499.7,-66.6592714771,17160499.7,-66.6592714771,,,,,,,,,,,31047864.57,-32.3079864475,14948819.45,-52.050965558,,,,,4762900.02,18.3468358693,,,,,,,,,,,,,226952.02,79.2419243722,1270829.95,43.5563892655,11856277.65,39.2989190372,,,-2017914.52,-276.6843249612,520718.47,-68.5380763865,2560711.78,393.4866365409,,,,,,,,,,,,,,,,,539.28,,17700639.41,,17479732.56,22.2317569191,246896.1,359.0544481759,,,0,,21540442.48,7.9289458058,5000,-66.6666666667,,,,,,,,,0,,21545442.48,7.8729234233,5373506.23,75.6129447601,,,,,,,16171936.25,-4.3823400065,,,16171936.25,-4.3823400065,,,16198116.52,6.054007778,-26180.27,-101.5966822091,-7524966.59,-149.3524911946,,,,,0.1008,-1.8500486855,0.1008,-1.8500486855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16171936.25,-4.3823400065,16198116.52,6.054007778,-26180.27,-101.5966822091,,,,,,,,,,,
300540.SZ,300540,蜀道装备,10401486,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-03-31 00:00:00,2023-03-31 00:00:00,CNY,238998211.93,-55.1803696951,238998211.93,-55.1803696951,,,,,,,,,,,269170298.43,-50.5214205138,195792363.55,-57.2446488226,,,,,21400147.3,-1.7972115004,,,,,,,,,,,,,2438965.79,-27.8790030916,6822834.66,15.8784867553,49528089.19,9.32988927,,,-6812102.06,-170.1245272195,3458396.93,-63.414584109,10758492.45,3187.6757407314,,,,,,,136922.62,,6736.51,-99.7494835498,6736.51,108.1994232113,,,,,,,-33821381.39,-87.8327943571,43997234.96,169.8618513221,1945766.65,-68.9263075103,,,0,,-17906807.15,78.3739599824,35000,164.5238721458,,,6582862.9,1950.5850908675,,,,,0,,-24454670.05,70.5754869475,849607.51,107.7131722226,,,,,,,-25304277.56,64.9013998404,,,-25304277.56,64.9013998404,,,-25101266.64,67.1602741119,-203010.92,-104.6767632231,-51705313.71,38.2145541475,,,,,-0.1592,74.0293637847,-0.1592,74.0293637847,1574710.0,-55.5230115478,1574710.0,-55.5230115478,,,,,,,1574710.0,-55.5230115478,,,1574710.0,-55.5230115478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23729567.56,65.3857489847,-23526556.64,67.7254938028,-203010.92,-104.6767632231,,,,,,,,,,,标准无保留意见
300540.SZ,300540,蜀道装备,10401486,通用,2022-09-30 00:00:00,三季报,2022三季报,058001001,2022-10-28 00:00:00,2022-10-28 00:00:00,CNY,155304472.58,-39.919225971,155304472.58,-39.919225971,,,,,,,,,,,143051418.73,-43.6197594685,101176204.42,-50.9758332045,,,,,12855683.08,4.6368882639,,,,,,,,,,,,,1205647.62,18.1601370415,3064931.11,-0.9542629791,29368722.69,21.7569795557,,,-4619770.19,-167.6957019496,2945449.25,-56.8521223893,7768271.6,3483.3448191941,,,,,,,,,,,,,,,,,,,-381700.49,77.5200131551,-3759546.17,-61.4251318424,572608.29,-90.4548647034,,,0,,8684415.48,28.8744759455,35000,227.8882032382,,,50000.0,-62.3492700088,,,,,0,,8669415.48,31.0264806457,674634.8,178.9613151144,,,,,,,7994780.68,25.4142496499,,,7994780.68,25.4142496499,,,8047628.64,10.6822565014,-52847.96,94.1033071949,7594851.46,220.8498431303,,,,,0.0501,-14.0651801029,0.0501,-14.0651801029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7994780.68,25.4142496499,8047628.64,10.6822565014,-52847.96,94.1033071949,,,,,,,,,,,
300540.SZ,300540,蜀道装备,10401486,通用,2022-06-30 00:00:00,中报,2022中报,058001001,2022-08-10 00:00:00,2022-08-10 00:00:00,CNY,77959997.06,-53.4352275632,77959997.06,-53.4352275632,,,,,,,,,,,77335649.96,-52.5673811061,50107190.17,-62.1476228621,,,,,8331352.71,7.8664131535,,,,,,,,,,,,,1186879.25,23.7049641411,2039755.26,-9.3561023403,18227580.17,19.7180953938,,,-2557107.6,-156.7115173351,2297460.35,-49.059000735,4983822.22,3104.2644340256,,,,,,,,,,,,,,,,,,,623945.74,182.7889616211,1659983.55,205.1372754274,268138.36,-80.3417170648,,,0,,3176414.75,-6.8768240752,15000,55.5753539599,,,50000.0,-35.789224276,,,,,0,,3141414.75,-6.0231846601,1112905.3,355.0237421413,,,,,,,2028509.45,-46.3236286483,,,2028509.45,-46.3236286483,,,2084745.45,-47.1756309722,-56236.0,66.4086567656,1907818.12,-34.0335685245,,,,,0.013,-58.9905362776,0.013,-58.9905362776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028509.45,-46.3236286483,2084745.45,-47.1756309722,-56236.0,66.4086567656,,,,,,,,,,,
300540.SZ,300540,蜀道装备,10401486,通用,2022-03-31 00:00:00,一季报,2022一季报,058001001,2022-04-20 00:00:00,2023-04-18 00:00:00,CNY,51470080.17,51.8565447132,51470080.17,51.8565447132,,,,,,,,,,,45866362.87,14.9258561302,31176476.49,20.2797213791,,,,,4024526.71,21.8809978371,,,,,,,,,,,,,126617.71,83.1875175602,885247.92,-40.4222961027,8511392.43,17.4197122345,,,1142101.61,-39.3741476973,1655075.12,-13.2052469436,518901.95,656.077814088,,,,,,,,,,,,,,,,,,,,,14300483.77,52969.3406153386,53783.62,-83.0836244276,,,0,,19957984.69,450.2812357863,15000,305.4054054054,,,,,,,,,0,,19972984.69,449.4908642304,3059857.71,,,,,,,,16913126.98,395.9489258528,,,16913126.98,395.9489258528,,,15273460.06,381.0673317614,1639666.92,683.9531896358,15247389.56,370.3298281113,,,,,0.1027,335.5504587156,0.1027,335.5504587156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16913126.98,395.9489258528,15273460.06,381.0673317614,1639666.92,683.9531896358,,,,,,,,,,,
300540.SZ,300540,蜀道装备,10401486,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-20 00:00:00,2023-03-31 00:00:00,CNY,533244496.45,2.799361055,533244496.45,2.799361055,,,,,,,,,,,544013795.92,10.5490503937,457936511.24,7.9879501547,,,,,21791791.89,20.6333285987,,,,,,,,,,,,,3381769.38,-44.1173292891,5887921.78,-35.6495493564,45301508.6,51.3121679054,,,9714293.03,100.9487737493,9452938.68,68.0169557562,327237.03,-71.5353142234,,,,,,,,,2689048.96,2626.3967789157,-82158.34,,,,,,,,-18006110.97,-161.6607562522,-62977482.17,-610.4627416875,6261781.25,72.6917047204,,,0,,-82802062.4,-667.1113195861,13231.32,-86.8121826531,,,321023.64,55.6586857139,,,,,0,,-83109854.72,-673.3783801039,-11015020.61,-1614.942692844,,,,,,,-72094834.11,-623.6529543686,,,-72094834.11,-623.6529543686,,,-76435676.49,-910.8094258219,4340842.38,0.0057775535,-83685264.38,-1385.8713034736,,,,,-0.613,-910.8465608466,-0.613,-910.8465608466,3540505.0,,3540505.0,,,,,,,,3540505.0,,,,3540505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68554329.11,-597.9368829455,-72895171.49,-873.2526858545,4340842.38,0.0057775535,,,,,,,,,,,标准无保留意见
300540.SZ,300540,蜀道装备,10401486,通用,2021-09-30 00:00:00,三季报,2021三季报,058001001,2021-10-26 00:00:00,2022-10-28 00:00:00,CNY,258492795.89,-9.7768163823,258492795.89,-9.7768163823,,,,,,,,,,,253726158.99,-8.884918459,206380263.11,-13.5594954787,,,,,12285995.21,13.7727756742,,,,,,,,,,,,,1020350.56,-59.4557544688,3094460.4,-51.7030483179,24120771.39,44.653708301,,,6824318.32,105.7786871313,6826405.87,78.0953265425,216788.28,-73.605279882,,,,,,,,,2748957.3,2687.1371773375,,,,,,,,,-1697956.91,,-2328972.03,-5.0391976356,5998954.15,90.3203953656,,,0,,6738662.11,-25.6986196059,10674.37,-77.4827023196,,,132799.55,-34.6193974468,,,,,0,,6616536.93,-25.770741264,241838.12,-51.9832726402,,,,,,,6374698.81,-24.2009376384,,,6374698.81,-24.2009376384,,,7270929.32,6.0588795962,-896230.51,-157.6562522597,2367104.62,-46.6837167623,,,,,0.0583,6.0,0.0583,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6374698.81,-24.2009376384,7270929.32,6.0588795962,-896230.51,-157.6562522597,,,,,,,,,,,
300540.SZ,300540,蜀道装备,10401486,通用,2021-06-30 00:00:00,中报,2021中报,058001001,2021-08-28 00:00:00,2022-08-10 00:00:00,CNY,167422695.27,-7.7960922344,167422695.27,-7.7960922344,,,,,,,,,,,163043179.49,-4.0462601235,132375279.86,-9.1879625199,,,,,7723769.12,10.8800308957,,,,,,,,,,,,,959443.51,-12.0300453375,2250295.18,-48.1132384293,15225417.77,57.4700115409,,,4508974.05,115.9614925367,4510041.78,93.6949244214,155537.17,-70.2661690827,,,,,,,,,,,,,,,,,,,-753658.13,,-1578872.52,28.7911144774,1363996.85,-41.2471729175,,,0,,3410981.98,-71.2473477192,9641.63,,,,77868.55,91.2175087482,,,,,0,,3342755.06,-71.7254045858,-436392.82,-190.7346863101,,,,,,,3779147.88,-66.6786280333,,,3779147.88,-66.6786280333,,,3946560.06,-57.9168425343,-167412.18,-108.5261700381,2892104.48,-60.7514202974,,,,,0.0317,-57.8457446809,0.0317,-57.8457446809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3779147.88,-66.6786280333,3946560.06,-57.9168425343,-167412.18,-108.5261700381,,,,,,,,,,,
300540.SZ,300540,蜀道装备,10401486,通用,2021-03-31 00:00:00,一季报,2021一季报,058001001,2021-04-29 00:00:00,2022-04-20 00:00:00,CNY,33893883.38,3.681033204,33893883.38,3.681033204,,,,,,,,,,,39909524.64,-7.15124324,25919977.31,-22.4926145616,,,,,3302013.26,5.9227524572,,,,,,,,,,,,,69119.18,232.420097034,1485871.16,10.7568988188,7248691.27,66.3584926214,,,1883852.46,167.4327055952,1906883.84,104.7092633085,68630.76,-71.9292984447,,,,,,,,,,,,,,,,,,,132722.32,,26946.79,,317938.2,2791.1830874744,,,0,,-5697703.06,44.584787267,3700.0,-99.022870121,,,20877.28,1216.7631661936,,,,,0,,-5714880.34,42.3017050999,,,,,,,,,-5714880.34,42.3978068577,,,-5714880.34,42.3978068577,,,-5434092.95,43.6268271457,-280787.39,0.3550260034,-5640291.22,43.3706554223,,,,,-0.0436,43.596377749,-0.0436,43.596377749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5714880.34,42.3978068577,-5434092.95,43.6268271457,-280787.39,0.3550260034,,,,,,,,,,,
300540.SZ,300540,蜀道装备,10401486,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-04-27 00:00:00,2022-04-20 00:00:00,CNY,518723551.37,19.1511299864,518723551.37,19.1511299864,,,,,,,,,,,492101735.82,15.5435346974,424062601.97,18.5670102216,,,,,18064486.94,3.3635690669,,,,,,,,,,,,,6051552.9,369.0491244732,9149775.52,-23.7703162174,29939104.85,-10.0290137369,,,4834213.64,15.1286927459,5626181.38,-3.7040460047,1149624.6,-42.1027146069,,,,,,,,,98630.14,-92.3080208176,,,,,,,,,-6881471.73,,-8864290.62,15.4693601477,3625988.44,203.308998801,,,0,,14600671.78,975.8174014256,100329.87,-98.7370614274,,,206235.61,57.6279319217,,,,,0,,14494766.04,58.0587297097,727091.57,348.68507482,,,,,,,13767674.47,45.4915582281,,,13767674.47,45.4915582281,,,9427082.87,27.1086658922,4340591.6,112.1175495124,6508059.1,152.6464043795,,,,,0.0756,27.0588235294,0.0756,27.0588235294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13767674.47,45.4915582281,9427082.87,27.1086658922,4340591.6,112.1175495124,,,,,,,,,,,标准无保留意见
